Algorithm,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.928,0.9710144927536232,0.9054054054054054,0.9370629370629371,0.9819819819819819
Decision Tree,0.912,0.9436619718309859,0.9054054054054054,0.9241379310344827,0.9134870164281929
Random Forest,0.92,0.9705882352941176,0.8918918918918919,0.9295774647887324,0.974827768945416
SVM,0.92,0.9571428571428572,0.9054054054054054,0.9305555555555556,0.9697933227344993
